date,class4,class2,0,1,2,3,4
2000-01-01,nonevent,notevent,-454.3777518235447,-29.765309208326443,-18.19042482047374,-9.010195013791055,-1.3672633841255912
2000-01-20,nonevent,notevent,-444.4145615524748,93.92730715729427,60.611684806698534,-30.236360030783207,8.06106565460518
2000-01-23,nonevent,notevent,-405.9866615857535,-45.400724498860086,-17.29941746605752,-14.29854621878612,-3.4215489641285597
2000-02-17,nonevent,notevent,-443.5979722077528,9.080831585111845,7.192229610436989,-20.145730171413238,1.7532550178804056
2000-03-25,Ib,event,74.59632447494332,-63.80315512031194,52.88494700225746,-9.751629213430489,2.6759446666326374
2000-03-28,II,event,212.6419983313644,-62.62819367164379,57.0654128194827,-7.919276487534227,5.231085934962885
2000-04-08,II,event,337.21718060333984,-56.30570392548034,54.89896258225097,-6.256987552615968,9.732132551709725
2000-04-09,Ib,event,339.84011001820846,-61.21439977470142,63.099819120148496,-8.028798657885613,8.881220533245184
2000-04-25,nonevent,notevent,37.02592909276361,18.033975640774226,-65.129010122833,6.535170985712938,3.8767971186414556
2000-05-12,Ia,event,326.4531998210048,29.48925081355044,-62.99293536543526,12.819933337609427,6.181316332195353
2000-05-13,II,event,-14.002826383462134,57.16938203508295,-82.83107546501049,2.8988042594360564,5.322684592280882
2000-06-10,Ib,event,484.7266739872799,-32.32020888101529,34.826468992676816,-3.1134186765654217,-9.019724533100266
2000-06-15,Ib,event,380.87196805993085,16.765966552970845,-40.535228007810765,8.146828458487931,1.6267121501821398
2000-06-18,II,event,388.02386518331514,18.144142254444027,-43.85188550424653,9.250851211254858,0.6963209241428016
2000-06-21,II,event,475.1078975004818,-36.83443197800267,40.55121286202048,-4.697932799607502,-12.979196735966145
2000-06-25,nonevent,notevent,109.8059599831413,-4.676852528008893,-27.791889626181256,0.40815058761640105,-8.93989546848764
2000-06-28,II,event,258.8758016174258,15.209314692782717,-45.34457320280916,6.428132002528459,-2.850250560403525
2000-07-02,nonevent,notevent,-4.361011394673323,33.29607947395436,-1.5501282175874083,-16.86906451848724,-8.879147154037591
2000-07-05,II,event,272.57083963904,72.336703659795,-27.078518982593504,-16.58915639991012,3.8593129718244814
2000-07-08,II,event,92.44323244527502,80.29242704173897,-36.39786449272833,-18.015933799900036,3.0591758959037083
2000-07-11,nonevent,notevent,322.3036877593267,8.43625848507034,-25.237315512295506,0.4487814624783541,-7.298719757869688
2000-07-12,nonevent,notevent,283.45171959585144,52.9124543974118,-55.15874435969761,-2.4757120109116806,1.2773315565674237
2000-07-25,nonevent,notevent,-358.6725891983914,61.87737664041295,43.015967658076256,-31.4466081627477,-14.63041030189214
2000-08-15,nonevent,notevent,-356.5347590353508,116.02245404168814,82.97106288023637,-6.692738169124944,-9.453006079874068
2000-09-26,Ib,event,105.26495339728932,-50.388756978406384,46.24640875232129,-10.195334781959925,-12.723136303965532
2000-09-29,nonevent,notevent,-305.013057978547,36.54530842962434,15.029974478578168,-29.35854924382016,-10.705136440248834
2000-10-02,nonevent,notevent,-196.27708454737342,-7.057563631468193,-33.37676113158475,-1.711267463539542,-10.922197315647434
2001-05-16,Ib,event,408.9591455169712,-44.78410745369107,39.18555935969945,-11.025497762960423,-9.987873110247563
2001-05-23,Ib,event,224.15990185117533,101.79896793752528,-35.9777089797417,-17.27537797352848,9.367111192554033
2001-05-30,Ib,event,27.633262553929693,-14.186200346790429,-28.194974566365925,-3.022079405363091,-11.076906560035585
2001-06-03,II,event,-1.5185949242909458,85.52978284291419,28.069464997556235,-45.29282992717714,0.7342836782448775
2001-06-04,Ib,event,195.83505836306261,141.2180152232302,-38.20586727662051,-28.67938086742132,17.029221185198722
2001-06-07,nonevent,notevent,193.24423775801168,-29.456539602750134,6.245605982454843,-7.933173966483128,-12.096075650381561
2001-06-10,nonevent,notevent,-136.0666119400953,177.64970766942795,75.50210475907808,21.644222439081442,0.76906333445326
2001-06-14,nonevent,notevent,-382.58452266343915,88.49929547457647,62.318724962574606,-37.00842894417589,-9.458548630053896
2001-06-21,nonevent,notevent,-292.36533114085717,-19.99148115303179,-27.638559799596962,-8.57584995589982,-18.578239879375587
2001-06-22,nonevent,notevent,-211.40839314795574,-9.1992569261701,-46.7737844527701,-3.687626238462975,-16.765251572203322
2001-06-24,II,event,129.77489035294923,-32.230212958461244,6.132470864089825,-9.606891242422135,-20.106835552779483
2001-07-01,nonevent,notevent,276.31240998543177,0.16495562803996455,-30.524402543019153,-2.5395793464565757,-5.463204424891758
2001-07-10,nonevent,notevent,-188.14732582858093,3.7192366844123512,-41.7221394026615,-11.287104481440695,-15.352262112929429
2001-07-21,nonevent,notevent,-323.2503525186879,118.21131671280241,83.32431532557294,-27.169300865944802,-6.400089067628937
2001-07-31,Ib,event,305.8549194391268,77.14499048252864,3.9081522650697997,-37.41270878102617,2.4574332043832836
2001-08-01,Ib,event,189.66814994514277,-2.3167191089682158,-32.174951516065555,-3.3798881288502534,-10.354640262972618
2001-08-02,Ib,event,300.6044015912733,10.726999274105166,-45.35051718429223,0.8704696226403843,-5.565613090788865
2001-08-10,II,event,265.7409263937853,29.9084244801822,-71.33584149874602,2.4655948700641988,-2.1462942916391023
2001-08-11,II,event,23.008444819025563,180.29016980588403,19.151824710974946,-40.819041048952904,13.104309114319525
2001-08-22,nonevent,notevent,68.51897836083693,23.819203791506464,-75.01153217230959,0.010725700496375066,-8.27092660530878
2001-08-25,nonevent,notevent,69.80533049054608,15.542584943195104,-67.34654607021432,-0.07823047710233262,3.2148022489260386
2001-08-28,Ia,event,281.6081856026184,-50.74687150409488,42.0067594024853,-13.661306506742498,-20.443112749365913
2001-09-02,Ib,event,-174.26189143990544,-36.65507983066774,-8.810653290543183,-12.02765556472201,-25.135710268367067
2001-09-03,nonevent,notevent,-423.179409466153,160.3960313793789,118.834489545864,11.169972850101265,-15.150693158451226
2001-09-11,nonevent,notevent,-241.99223017313355,-15.815460999623049,-41.07511667003267,-5.9415713441844655,-18.67976516057521
2003-03-17,Ia,event,-14.29819345536377,-47.72195774519286,15.523210876241777,-10.088396285007553,8.271004645665391
2003-03-21,Ia,event,133.59314750695802,-55.92866642719907,40.374851305574616,-7.69018105682842,16.234463816197596
2003-03-25,Ia,event,178.30026385086117,-63.46148666691767,49.85703512117262,-13.072576864778306,12.541407799159584
2003-04-15,Ib,event,260.3793169236755,-32.822896572262565,8.924085866507022,-4.23952166968289,15.576077322749619
2003-04-19,II,event,331.92985545010436,-54.1928511654739,45.947493677599034,-9.19958470990387,6.214887517966896
2003-04-20,Ib,event,333.86917194142245,-57.69800203963258,49.97992322945804,-11.254394831806614,-0.7263947434779424
2003-04-25,II,event,299.82380881111135,-14.436424316152511,-10.383248129225894,-0.21010618337976442,6.6281214303729215
2003-04-26,Ib,event,397.55360262094905,-36.5066448815542,25.832032184387085,-4.644571501356155,2.6469572522531197
2003-04-27,Ib,event,362.3458522632496,-49.63844270581368,45.53153303771669,-8.068347192900552,-0.8175072353382752
2003-05-01,nonevent,notevent,-359.6636435708001,163.92432920857877,121.24707272819653,76.18054595212641,2.019915646615863
2003-05-04,II,event,359.00896579936466,-8.284783117082817,-15.546648574419962,0.435138968880814,3.4147634392376864
2003-05-05,II,event,219.1370515998016,-0.21053487400999624,-36.569394772727534,1.8128566612396508,1.1672168747437548
2003-05-10,Ib,event,346.319020855701,16.294446119430596,-39.34680606448245,0.46653085253869936,7.563846259574943
2003-05-17,nonevent,notevent,-271.90423467815197,93.48666014825174,60.0879233627348,-23.532167037747836,1.412571316349101
2003-05-28,Ia,event,384.8207380031817,50.82531736655923,-18.601122409830655,-18.07921623008228,11.795402728320322
2003-05-29,Ib,event,243.9800494038068,-27.341354845364172,5.342148135096889,-6.203464000893793,-8.415412033899663
2003-06-16,II,event,263.6488069859649,62.20810176763265,-34.066951541241274,-20.082989744721257,9.847277827924932
2003-06-22,nonevent,notevent,-110.46648661021626,-18.56764379364643,13.832299113395026,-20.11493246621081,-17.566636326511073
2003-06-25,II,event,332.23832630879224,8.464267466952126,-40.73430384239634,-0.355034333619946,-2.6705243691905225
