date,class4,class2,0,1
2000-01-01,nonevent,notevent,-454.3777518235447,-29.765309208326443
2000-01-20,nonevent,notevent,-444.4145615524748,93.92730715729427
2000-01-23,nonevent,notevent,-405.9866615857535,-45.400724498860086
2000-02-17,nonevent,notevent,-443.5979722077528,9.080831585111845
2000-03-25,Ib,event,74.59632447494332,-63.80315512031194
2000-03-28,II,event,212.6419983313644,-62.62819367164379
2000-04-08,II,event,337.21718060333984,-56.30570392548034
2000-04-09,Ib,event,339.84011001820846,-61.21439977470142
2000-04-25,nonevent,notevent,37.02592909276361,18.033975640774226
2000-05-12,Ia,event,326.4531998210048,29.48925081355044
2000-05-13,II,event,-14.002826383462134,57.16938203508295
2000-06-10,Ib,event,484.7266739872799,-32.32020888101529
2000-06-15,Ib,event,380.87196805993085,16.765966552970845
2000-06-18,II,event,388.02386518331514,18.144142254444027
2000-06-21,II,event,475.1078975004818,-36.83443197800267
2000-06-25,nonevent,notevent,109.8059599831413,-4.676852528008893
2000-06-28,II,event,258.8758016174258,15.209314692782717
2000-07-02,nonevent,notevent,-4.361011394673323,33.29607947395436
2000-07-05,II,event,272.57083963904,72.336703659795
2000-07-08,II,event,92.44323244527502,80.29242704173897
2000-07-11,nonevent,notevent,322.3036877593267,8.43625848507034
2000-07-12,nonevent,notevent,283.45171959585144,52.9124543974118
2000-07-25,nonevent,notevent,-358.6725891983914,61.87737664041295
2000-08-15,nonevent,notevent,-356.5347590353508,116.02245404168814
2000-09-26,Ib,event,105.26495339728932,-50.388756978406384
2000-09-29,nonevent,notevent,-305.013057978547,36.54530842962434
2000-10-02,nonevent,notevent,-196.27708454737342,-7.057563631468193
2001-05-16,Ib,event,408.9591455169712,-44.78410745369107
2001-05-23,Ib,event,224.15990185117533,101.79896793752528
2001-05-30,Ib,event,27.633262553929693,-14.186200346790429
2001-06-03,II,event,-1.5185949242909458,85.52978284291419
2001-06-04,Ib,event,195.83505836306261,141.2180152232302
2001-06-07,nonevent,notevent,193.24423775801168,-29.456539602750134
2001-06-10,nonevent,notevent,-136.0666119400953,177.64970766942795
2001-06-14,nonevent,notevent,-382.58452266343915,88.49929547457647
2001-06-21,nonevent,notevent,-292.36533114085717,-19.99148115303179
2001-06-22,nonevent,notevent,-211.40839314795574,-9.1992569261701
2001-06-24,II,event,129.77489035294923,-32.230212958461244
2001-07-01,nonevent,notevent,276.31240998543177,0.16495562803996455
2001-07-10,nonevent,notevent,-188.14732582858093,3.7192366844123512
2001-07-21,nonevent,notevent,-323.2503525186879,118.21131671280241
2001-07-31,Ib,event,305.8549194391268,77.14499048252864
2001-08-01,Ib,event,189.66814994514277,-2.3167191089682158
2001-08-02,Ib,event,300.6044015912733,10.726999274105166
2001-08-10,II,event,265.7409263937853,29.9084244801822
2001-08-11,II,event,23.008444819025563,180.29016980588403
2001-08-22,nonevent,notevent,68.51897836083693,23.819203791506464
2001-08-25,nonevent,notevent,69.80533049054608,15.542584943195104
2001-08-28,Ia,event,281.6081856026184,-50.74687150409488
2001-09-02,Ib,event,-174.26189143990544,-36.65507983066774
2001-09-03,nonevent,notevent,-423.179409466153,160.3960313793789
2001-09-11,nonevent,notevent,-241.99223017313355,-15.815460999623049
2003-03-17,Ia,event,-14.29819345536377,-47.72195774519286
2003-03-21,Ia,event,133.59314750695802,-55.92866642719907
2003-03-25,Ia,event,178.30026385086117,-63.46148666691767
2003-04-15,Ib,event,260.3793169236755,-32.822896572262565
2003-04-19,II,event,331.92985545010436,-54.1928511654739
2003-04-20,Ib,event,333.86917194142245,-57.69800203963258
2003-04-25,II,event,299.82380881111135,-14.436424316152511
2003-04-26,Ib,event,397.55360262094905,-36.5066448815542
2003-04-27,Ib,event,362.3458522632496,-49.63844270581368
2003-05-01,nonevent,notevent,-359.6636435708001,163.92432920857877
2003-05-04,II,event,359.00896579936466,-8.284783117082817
2003-05-05,II,event,219.1370515998016,-0.21053487400999624
2003-05-10,Ib,event,346.319020855701,16.294446119430596
2003-05-17,nonevent,notevent,-271.90423467815197,93.48666014825174
2003-05-28,Ia,event,384.8207380031817,50.82531736655923
2003-05-29,Ib,event,243.9800494038068,-27.341354845364172
2003-06-16,II,event,263.6488069859649,62.20810176763265
2003-06-22,nonevent,notevent,-110.46648661021626,-18.56764379364643
2003-06-25,II,event,332.23832630879224,8.464267466952126
2003-06-27,Ib,event,386.9230430849078,-6.842007944112285
2003-06-30,II,event,240.49430887742218,33.22491968044591
2003-07-13,Ib,event,268.2209710657454,35.74914953351365
2003-07-19,nonevent,notevent,254.2845038853924,-3.3198422486532553
2003-07-26,II,event,98.58808209473733,-28.11082630134503
